,numbers,log_freq,predictions_max_approx,predictions_add_approx,R2
0,1,3.1945888489635896,2.929338677333542,3.2138058604684363,0.9557581606063265
1,2,2.9537939850310377,2.7375100182054797,2.767304045243868,0.9510638050585822
2,3,2.639968372439853,2.5456808415950913,2.3208016400323497,0.0
3,4,2.356076395307059,2.3537666772821653,2.2536169016540946,0.0
4,5,2.2395247146202784,2.160274561384055,1.9567201440234503,0.0
5,6,2.0970146628255364,1.9590587865060576,1.8660507090693974,0.0
6,7,1.813077603040058,1.7432454022176513,1.6308712261506926,0.0
7,8,1.80140404668224,1.6174266738882006,1.588800676234935,0.0
8,9,1.6200920634272122,1.5869800132768146,1.4088950813366066,0.0
9,10,1.9193153834174903,1.8357188747789568,1.841568151118738,0.0
10,11,1.1028060954301218,1.1969240135233359,1.1840051086074277,0.0
11,12,1.4431139926289398,1.4030279525294898,1.2672773179147414,0.0
12,13,0.9018790874643632,1.2234289010358088,1.0961350670179202,0.0
13,14,0.9895860185147848,1.0363417060234505,1.0873050344712396,0.0
14,15,1.30825553682144,1.2245792163098097,1.0046086404938674,0.0
15,16,0.9678918908164325,1.2145249848897708,1.069301257124327,0.0
16,17,0.7579308659276596,1.009119528544002,0.8657557362315644,0.0
17,18,1.0059040861649975,0.9948963256211373,0.9070170637928675,0.0
18,19,0.8297659893741295,0.7903022596624599,0.7284260088267396,0.0
19,20,1.5976306235350095,1.641648430439409,1.534957831059607,0.0
20,21,0.5411909433300275,0.7722263051054182,0.6821754302436401,0.0
21,22,0.3852109927916896,0.5744465138511343,0.642966743010988,0.0
22,23,0.2612213425945501,0.3776141587238187,0.5132942053245106,0.0
23,24,0.680739390792579,0.7564234304647562,0.6859111934216956,0.0
24,25,0.906989642254324,0.7512166469375745,0.5432843991662925,0.0
25,26,0.2416242511176502,0.5536112159578099,0.4992429899173477,0.0
26,27,0.1598799926581615,0.648142482602625,0.43320439992873844,0.0
27,28,0.2185163370546694,0.5405695568107618,0.4779676959442475,0.0
28,29,0.0091268917771173,0.3418155162178877,0.313578968309422,0.0
29,30,1.4513651214570615,1.3404355542625597,1.3167628062815688,0.0
30,31,0.0407854570341758,0.32790120893112523,0.25340938440399463,0.0
31,32,0.1547783214022071,0.42189620858383814,0.3685046892128761,0.0
32,33,0.0319137209293931,0.2232764467693121,0.24141468141509556,0.0
33,34,-0.0329517909214441,0.21652771817876287,0.21182068656955172,0.0
34,35,0.4276539837813254,0.3007675544642167,0.15109831201448845,0.0
35,36,0.1708140814826132,0.39488604409982525,0.3351809990729953,0.0
36,37,-0.0874025013193906,0.19631266541435774,0.1148715961876999,0.0
37,38,-0.0843017243977085,-0.002264322465403172,0.10141691744980562,0.0
38,39,-0.1615058648083062,0.18282217143117907,0.03759784083705493,0.0
39,40,1.2085341555593787,1.0977130954226164,1.1647855293359277,0.0
40,41,-0.2180554999274898,-0.022431764149186805,-0.020794132117845015,0.0
41,42,-0.0588870127672056,0.06187347948499893,0.09209503526041075,0.0
42,43,-0.2127749324232733,-0.13658795848478514,-0.08685959002877121,0.0
43,44,-0.1319619200434028,-0.04232655023227952,-0.005314732218901231,0.0
44,45,0.3410319052389501,0.1429521831001658,-0.04353290425591971,0.0
45,46,-0.2055019189893487,-0.05537590918887172,-0.11230085150496084,0.0
46,47,-0.2391608331403988,-0.2536439797832334,-0.2301642755401463,0.0
47,48,0.1612891522740142,0.12364628980740822,0.02827834826747747,0.0
48,49,-0.2709741595453371,-0.07446219231499165,-0.1476803557501596,0.0
49,50,1.3579848991707848,0.9254778862260735,0.955554835472986,0.0
50,51,-0.2486047731031395,-0.08669072495188565,-0.22197426314661925,0.0
51,52,-0.1393864595066098,-0.09260092578841567,-0.17281912456893597,0.0
52,53,-0.3005714858443493,-0.29017611733332116,-0.32872801964454246,0.0
53,54,-0.2446447579759511,-0.10390841187122418,-0.18909640171179914,0.0
54,55,-0.0093243577766,-0.3010897351204201,-0.310736469078872,0.0
55,56,-0.2482177741348591,-0.3062107303968219,-0.19478483979463576,0.0
56,57,-0.358023330416804,-0.3110761761219658,-0.33198755823061205,0.0
57,58,-0.3628212668727267,-0.5074905618953983,-0.36442338855610595,0.0
58,59,-0.4197093848431559,-0.703601022262083,-0.47863443074337125,0.0
59,60,1.0430626277783843,0.9343484277203774,0.9418457552545052,0.0
60,61,-0.4323731251886044,-0.3275001998509723,-0.42472196597120765,0.0
61,62,-0.2933810369267347,-0.5225575002287953,-0.4324438796602376,0.0
62,63,-0.3788121295513372,-0.33356201315751216,-0.42460819752074713,0.0
63,64,-0.2619661193870577,-0.1441508838758594,-0.30000539844260365,0.0
64,65,0.1262272540402686,-0.3379628519886726,-0.4425637769242689,0.0
65,66,-0.3533802794115671,-0.5313238381059698,-0.3709289959991393,0.0
66,67,-0.455088273517137,-0.7242191019305622,-0.5360715293119873,0.0
67,68,-0.4315275300558893,-0.34115012973671394,-0.45202936036752844,0.0
68,69,-0.5333614884322837,-0.5330787040618593,-0.547032493752967,0.0
69,70,0.7215204793503649,0.5597763192459781,0.7170162830228087,0.0
70,71,-0.5289807741138252,-0.7236138255197466,-0.6082880106391368,0.0
71,72,-0.2043146666933265,-0.33855562257260857,-0.30793202381528856,0.0
72,73,-0.5050095025877284,-0.5284802344737213,-0.541966377726291,0.0
73,74,-0.489965688439316,-0.6170497635261044,-0.5421717098797302,0.0
74,75,0.2475128472347696,-0.33134928415560577,-0.5357517408423655,0.0
75,76,-0.492819803366561,-0.519794185761602,-0.5089514098321968,0.0
