,number,lang,word,mean_freq,matched_word,mean_dash_freq,has_dash,mean_total_freq,corrected_total_freq,about_word,exactly_word,mean_freq_about,mean_freq_exactly,log_freq_about,log_freq_exactly,log_freq,log_freq_uncorrected,arabic_number,mult10,mult7,mult5,mult3,mult2,exp2,exp3,exp5,exp7,exp10,log10
67,68,fr,soixante-huit,0.3468897935086787,soixante - huit,3.912301499757873e-08,True,0.3468897935086787,0.3468897935086787,about sixty-eight,exactly sixty-eight,0.003508645700775633,0.00012693954649677832,-2.454860484154684,-3.8964030575763284,-0.4598084781575655,-0.4598084781575655,,0,0,0,0,1,2,0,0,0,0,1.8325089127062364
68,69,fr,soixante-neuf,0.22577220713450444,soixante - neuf,3.296491318696094e-08,True,0.22577220713450444,0.22577220713450444,about sixty-nine,exactly sixty-nine,0.0015887231225575555,6.54224068709924e-05,-2.798951783612556,-4.18427348235163,-0.6463295213615601,-0.6463295213615601,,0,0,0,1,0,0,1,0,0,0,1.8388490907372552
69,70,fr,soixante-dix,5.946274309370018,soixante - dix,3.671170459568327e-07,True,5.946274309370018,5.35786016574686,about seventy,exactly seventy,0.31386815384634886,0.0031166421513290185,-0.5032527470920175,-2.5063130599704824,0.728991374812131,0.7742449399005127,,1,1,1,0,1,1,0,1,1,1,1.845098040014257
70,71,fr,soixante et onze,0.2454833294200844,soixante et onze,0.0,False,0.2454833294200844,0.2454833294200844,about seventy-one,exactly seventy-one,0.0013943989046205424,9.285284462608641e-05,-2.8556129670608867,-4.032204786738543,-0.6099779951364964,-0.6099779951364964,,0,0,0,0,0,0,0,0,0,0,1.8512583487190752
71,72,fr,soixante-douze,0.5773283089415511,soixante - douze,6.160857361525065e-08,True,0.5773283089415511,0.5773283089415511,about seventy-two,exactly seventy-two,0.0057616235791083815,0.0005184294290157728,-2.2394551186443215,-3.2853103534021355,-0.2385771466141793,-0.2385771466141793,,0,0,0,1,1,3,2,0,0,0,1.8573324964312685
72,73,fr,soixante-treize,0.2759883557246212,soixante - treize,2.9866450489217135e-08,True,0.2759883557246212,0.2759883557246212,about seventy-three,exactly seventy-three,0.0024009952468472505,0.00015350665625617836,-2.619608699697264,-3.8138727881825374,-0.5591092409464584,-0.5591092409464584,,0,0,0,0,0,0,0,0,0,0,1.863322860120456
73,74,fr,soixante-quatorze,0.2500221641225032,soixante - quatorze,3.293312671807908e-08,True,0.2500221641225032,0.2500221641225032,about seventy-four,exactly seventy-four,0.0020663949712560513,7.498389150880483e-05,-2.684786663725179,-4.125032024344661,-0.6020214900102355,-0.6020214900102355,,0,0,0,0,1,1,0,0,0,0,1.8692317197309762
74,75,fr,soixante-quinze,1.0097402699940694,soixante - quinze,1.0531254878176196e-07,True,1.0097402699940694,1.0097402699940694,about seventy-five,exactly seventy-five,0.08273331935006532,0.00050654803962491,-1.0823195509597312,-3.295379361054602,0.004209676936609525,0.004209676936609525,,0,0,1,1,0,0,1,2,0,0,1.8750612633917
75,76,fr,soixante-seize,0.2532343745765591,soixante - seize,3.320012435776276e-08,True,0.2532343745765591,0.2532343745765591,about seventy-six,exactly seventy-six,0.0028475677306323798,8.752953121291801e-05,-2.5455259372435695,-4.057845397502898,-0.5964773425897322,-0.5964773425897322,,0,0,0,0,1,2,0,0,0,0,1.8808135922807914
76,77,fr,soixante-dix-sept,0.23205016707290235,soixante - dix - sept,1.8850060693181955e-08,True,0.23205016707290235,0.23205016707290235,about seventy-seven,exactly seventy-seven,0.0020965940247535844,0.00011977318537841689,-2.6784856562673336,-3.9216404001910457,-0.6344181145588342,-0.6344181145588342,,0,1,0,0,0,0,0,0,1,0,1.8864907251724818
77,78,fr,soixante-dix-huit,0.21918781574944055,soixante - dix - huit,1.9286064087790252e-08,True,0.21918781574944055,0.21918781574944055,about seventy-eight,exactly seventy-eight,0.0026130024919400995,7.14296181435285e-05,-2.5828601760991887,-4.146121671569448,-0.6591835911541614,-0.6591835911541614,,0,0,0,1,1,1,1,0,0,0,1.8920946026904804
78,79,fr,soixante-dix-neuf,0.1371761608008152,soixante - dix - neuf,1.7686435762565882e-08,True,0.1371761608008152,0.1371761608008152,about seventy-nine,exactly seventy-nine,0.0010613550915045883,6.52500194398651e-05,-2.974139292365539,-4.1854193546007945,-0.8627213560653212,-0.8627213560653212,,0,0,0,0,0,0,0,0,0,0,1.8976270912904414
79,80,fr,quatre-vingts,3.4595786973131553,quatre - vingts,1.7703573091159128e-07,True,3.4595786973131553,3.4595786973131553,about eighty,exactly eighty,0.2428746779291852,0.0021498688341541686,-0.6146177623002224,-2.667588036056841,0.5390232142342399,0.5390232142342399,,1,0,1,0,1,4,0,1,0,1,1.9030899869919435
80,81,fr,quatre-vingt-un,0.1377165316164471,quatre - vingt - un,1.4897904139091037e-08,True,0.1377165316164471,0.1377165316164471,about eighty-one,exactly eighty-one,0.0010886540062672943,7.871820706166679e-05,-2.9631101248764753,-4.103924806244552,-0.8610139235131529,-0.8610139235131529,,0,0,0,1,0,0,4,0,0,0,1.9084850188786497
81,82,fr,quatre-vingt-deux,0.24771299608489117,quatre - vingt - deux,2.3591145135432362e-08,True,0.24771299608489117,0.24771299608489117,about eighty-two,exactly eighty-two,0.0023081466106603167,4.6358891194818536e-05,-2.6367366087838406,-4.333866959976142,-0.6060512078675565,-0.6060512078675565,,0,0,0,0,1,1,0,0,0,0,1.9138138523837167
82,83,fr,quatre-vingt-trois,0.24019974088172175,quatre - vingt - trois,2.4713479123705587e-08,True,0.24019974088172175,0.24019974088172175,about eighty-three,exactly eighty-three,0.0016628470702780688,7.791472981505725e-05,-2.779147690400672,-4.108380430996556,-0.619427465433109,-0.619427465433109,,0,0,0,0,0,0,0,0,0,0,1.919078092376074
83,84,fr,quatre-vingt-quatre,0.23702200512527236,quatre - vingt - quatre,2.8166995794599777e-08,True,0.23702200512527236,0.23702200512527236,about eighty-four,exactly eighty-four,0.0025589159505942376,8.90494966028526e-05,-2.591943978588232,-4.050368531262178,-0.6252113322141857,-0.6252113322141857,,0,1,0,1,1,2,1,0,1,0,1.9242792860618816
84,85,fr,quatre-vingt-cinq,0.34535901194181395,quatre - vingt - cinq,2.7903534123819395e-08,True,0.34535901194181395,0.34535901194181395,about eighty-five,exactly eighty-five,0.018601211917173795,0.00019720866769666693,-1.7304587594490255,-3.70507400090542,-0.46172920684898544,-0.46172920684898544,,0,0,1,0,0,0,0,1,0,0,1.9294189257142926
85,86,fr,quatre-vingt-six,0.19702211605978365,quatre - vingt - six,2.3345837367869268e-08,True,0.19702211605978365,0.19702211605978365,about eighty-six,exactly eighty-six,0.00203821331925492,0.00015548028884251503,-2.690750364722575,-3.8083246612322177,-0.7054850208250909,-0.7054850208250909,,0,0,0,0,1,1,0,0,0,0,1.9344984512435677
86,87,fr,quatre-vingt-sept,0.17397025700637303,quatre - vingt - sept,2.0697019427283116e-08,True,0.17397025700637303,0.17397025700637303,about eighty-seven,exactly eighty-seven,0.002047197135124792,0.00010188934608877518,-2.6888403348779852,-3.9918712249901542,-0.7595249949481296,-0.7595249949481296,,0,0,0,1,0,0,1,0,0,0,1.9395192526186185
87,88,fr,quatre-vingt-huit,0.17625402662423428,quatre - vingt - huit,2.281734586458602e-08,True,0.17625402662423428,0.17625402662423428,about eighty-eight,exactly eighty-eight,0.0019459087228267632,9.115446517158387e-05,-2.7108775351377465,-4.040222052715167,-0.7538609525169324,-0.7538609525169324,,0,0,0,0,1,3,0,0,0,0,1.9444826721501687
88,89,fr,quatre-vingt-neuf,0.14854350457297044,quatre - vingt - neuf,4.0042946440147866e-08,True,0.14854350457297044,0.14854350457297044,about eighty-nine,exactly eighty-nine,0.000753145190004206,7.643885449712994e-05,-3.1231212932024515,-4.116685829849666,-0.8281463340305738,-0.8281463340305738,,0,0,0,0,0,0,0,0,0,0,1.9493900066449128
89,90,fr,quatre-vingt-dix,2.1941732840929817,quatre - vingt - dix,1.4489995469286406e-07,True,2.1941732840929817,2.1941732840929817,about ninety,exactly ninety,0.1400159678656992,0.002502343243291175,-0.8538224331752255,-2.6016531189259484,0.34127092285292837,0.34127092285292837,,1,0,1,1,1,1,2,1,0,1,1.954242509439325
90,91,fr,quatre-vingt-onze,0.11341982342423317,quatre - vingt - onze,2.192089058420758e-08,True,0.11341982342423317,0.11341982342423317,about ninety-one,exactly ninety-one,0.0008220922619121584,7.185901560610448e-05,-3.0850794396487213,-4.143518736474051,-0.9453110331736391,-0.9453110331736391,,0,1,0,0,0,0,0,0,1,0,1.9590413923210936
91,92,fr,quatre-vingt-douze,0.16428482069283978,quatre - vingt - douze,2.8395765564611936e-08,True,0.16428482069283978,0.16428482069283978,about ninety-two,exactly ninety-two,0.0017390855019677632,7.387818930961482e-05,-2.7596790654268704,-4.13148375728268,-0.7844025619080968,-0.7844025619080968,,0,0,0,0,1,2,0,0,0,0,1.9637878273455553
92,93,fr,quatre-vingt-treize,0.1387715510433879,quatre - vingt - treize,2.2081283381290702e-08,True,0.1387715510433879,0.1387715510433879,about ninety-three,exactly ninety-three,0.0013962424898178994,0.00015772335051573584,-2.8550391498759167,-3.8021040057869957,-0.8576995575932076,-0.8576995575932076,,0,0,0,1,0,0,1,0,0,0,1.968482948553935
93,94,fr,quatre-vingt-quatorze,0.0990091776059796,quatre - vingt - quatorze,1.6210170217027998e-08,True,0.0990091776059796,0.0990091776059796,about ninety-four,exactly ninety-four,0.0012841430903381423,4.990462951650794e-05,-2.891386580720541,-4.301859164191987,-1.0043245468277207,-1.0043245468277207,,0,0,0,0,1,1,0,0,0,0,1.9731278535996986
94,95,fr,quatre-vingt-quinze,0.18908069630269358,quatre - vingt - quinze,2.512572162527862e-08,True,0.18908069630269358,0.18908069630269358,about ninety-five,exactly ninety-five,0.009118633029486898,8.670278669856636e-05,-2.0400702616986437,-4.061966943719168,-0.7233528070468223,-0.7233528070468223,,0,0,1,0,0,0,0,1,0,0,1.9777236052888478
95,96,fr,quatre-vingt-seize,0.14000084124678752,quatre - vingt - seize,2.0101912814057493e-08,True,0.14000084124678752,0.14000084124678752,about ninety-six,exactly ninety-six,0.0022523936942155454,9.012321063720235e-05,-2.6473556971768937,-4.045163344942181,-0.8538693546950472,-0.8538693546950472,,0,0,0,1,1,5,1,0,0,0,1.9822712330395684
0,1,it,uno,709.8343134309878,uno,0.0,False,709.8343134309878,6137.440744650496,about one,exactly one,11.17202623836598,0.6225429831597555,1.0481319470042787,-0.20583065755810073,3.7879873121541547,2.851156989338909,,0,0,0,0,0,0,0,0,0,0,0.0
1,2,it,due,1132.1054109573072,due,0.0,False,1132.1054109573072,1132.1054109573072,about two,exactly two,6.7567124567765,0.17501935022825338,0.8297354371886361,-0.7569139328406863,3.0538868661329523,3.0538868661329523,,0,0,0,0,1,1,0,0,0,0,0.3010299956639812
2,3,it,tre,376.9570840613953,tre,0.0,False,376.9570840613953,376.9570840613953,about three,exactly three,5.037522263520776,0.0901499960520471,0.702216978534348,-1.045034287960705,2.5762919093139014,2.5762919093139014,,0,0,0,1,0,0,1,0,0,0,0.47712125471966244
3,4,it,quattro,160.5290656466512,quattro,0.0,False,160.5290656466512,160.5290656466512,about four,exactly four,2.7240832833722735,0.051014775079675376,0.4352203811247791,-1.2923040237792374,2.2055536779066847,2.2055536779066847,,0,0,0,0,1,2,0,0,0,0,0.6020599913279624
4,5,it,cinque,99.98569465310807,cinque,0.0,False,99.98569465310807,99.98569465310807,about five,exactly five,2.8335454736210806,0.04351549820262781,0.4523301867266724,-1.3613560399386546,1.9999378682236422,1.9999378682236422,,0,0,1,0,0,0,0,1,0,0,0.6989700043360189
5,6,it,sei,115.34480176587572,sei,0.0,False,115.34480176587572,115.34480176587572,about six,exactly six,2.380521940650914,0.03202778215187905,0.3766721886081389,-1.4944731341600774,2.061998026986581,2.061998026986581,,0,0,0,1,1,1,1,0,0,0,0.7781512503836436
6,7,it,sette,47.81062250235575,sette,0.0,False,47.81062250235575,47.81062250235575,about seven,exactly seven,1.053990283529785,0.019883577486026816,0.022836607243844138,-1.701505473929571,1.6795243983198862,1.6795243983198862,,0,1,0,0,0,0,0,0,1,0,0.8450980400142568
7,8,it,otto,42.8056827171103,otto,0.0,False,42.8056827171103,42.8056827171103,about eight,exactly eight,1.3047172717729243,0.018106456377804045,0.11551641158866541,-1.7421665373255113,1.631501428098609,1.631501428098609,,0,0,0,0,1,3,0,0,0,0,0.9030899869919435
8,9,it,nove,24.803849466444063,nove,0.0,False,24.803849466444063,24.803849466444063,about nine,exactly nine,0.6949119279834478,0.014110624825454634,-0.1580702337041547,-1.850453755045151,1.394519086967323,1.394519086967323,,0,0,0,1,0,0,2,0,0,0,0.9542425094393249
9,10,it,dieci,62.137224078612114,dieci,0.0,False,62.137224078612114,62.137224078612114,about ten,exactly ten,2.5607007768592345,0.03718932219257175,0.40835883323175864,-1.429581736959888,1.793351847659391,1.793351847659391,,1,0,1,0,1,1,0,1,0,1,1.0
10,11,it,undici,10.317654093395344,undici,0.0,False,10.317654093395344,20.635308186790688,about eleven,exactly eleven,0.25538420075855695,0.006981230173473549,-0.5928059736959994,-2.156068042924489,1.3146109594176079,1.0135809637536266,,0,0,0,0,0,0,0,0,0,0,1.0413926851582251
11,12,it,dodici,23.86452572810573,dodici,0.0,False,23.86452572810573,23.86452572810573,about twelve,exactly twelve,0.6034334122057985,0.014356109468960812,-0.2193706465394391,-1.8429632387210517,1.3777528078322314,1.3777528078322314,,0,0,0,1,1,2,1,0,0,0,1.0791812460476249
12,13,it,tredici,7.022157250521202,tredici,0.0,False,7.022157250521202,7.022157250521202,about thirteen,exactly thirteen,0.12384375243830922,0.003162553996460815,-0.907125897435069,-2.499962050744258,0.8464705506019854,0.8464705506019854,,0,0,0,0,0,0,0,0,0,0,1.1139433523068367
13,14,it,quattordici,7.1347741568923295,quattordici,0.0,False,7.1347741568923295,7.1347741568923295,about fourteen,exactly fourteen,0.197766256599821,0.003230913795763494,-0.703847806887617,-2.490674629269162,0.853380230573614,0.853380230573614,,0,1,0,0,1,1,0,0,1,0,1.146128035678238
14,15,it,quindici,21.680705008204278,quindici,0.0,False,21.680705008204278,21.680705008204278,about fifteen,exactly fifteen,0.7838470356974165,0.00752744802437967,-0.10576867970590757,-2.1233522345269975,1.3360734003845502,1.3360734003845502,,0,0,1,1,0,0,1,1,0,0,1.1760912590556813
15,16,it,sedici,8.003825368017287,sedici,0.0,False,8.003825368017287,8.003825368017287,about sixteen,exactly sixteen,0.18621868658850443,0.0026357231343010924,-0.7299767407817703,-2.57910021151366,0.9032976043852347,0.9032976043852347,,0,0,0,0,1,4,0,0,0,0,1.2041199826559248
16,17,it,diciassette,3.445803116062284,diciassette,0.0,False,3.445803116062284,3.445803116062284,about seventeen,exactly seventeen,0.10391088634422903,0.002422632482423479,-0.9833389506953996,-2.6157124640967058,0.5372904594003267,0.5372904594003267,,0,0,0,0,0,0,0,0,0,0,1.2304489213782739
17,18,it,diciotto,7.229947480963721,diciotto,0.0,False,7.229947480963721,7.229947480963721,about eighteen,exactly eighteen,0.26101336412493226,0.0026704163194449728,-0.5833372558144899,-2.5734210265968076,0.8591351425489578,0.8591351425489578,,0,0,0,1,1,1,2,0,0,0,1.255272505103306
18,19,it,diciannove,2.3534319454626584,diciannove,0.0,False,2.3534319454626584,2.3534319454626584,about nineteen,exactly nineteen,0.055417369064040635,0.001315589253005421,-1.2563540961664075,-2.8808796829086796,0.3717016442668519,0.3717016442668519,,0,0,0,0,0,0,0,0,0,0,1.2787536009528289
19,20,it,venti,36.849411259811625,venti,0.0,False,36.849411259811625,36.849411259811625,about twenty,exactly twenty,1.9946806457714867,0.02893172596485578,0.29987337376649437,-1.5386256571002432,1.5664305535612135,1.5664305535612135,,1,0,1,0,1,2,0,1,0,1,1.3010299956639813
20,21,it,ventuno,1.5777770863232767,ventuno,0.0,False,1.5777770863232767,1.667247658555287,about twenty-one,exactly twenty-one,0.029819065978958236,0.0016363552822119957,-1.5255059640532884,-2.7861223972706646,0.2220001161778206,0.19804564461595267,,0,1,0,1,0,0,1,0,1,0,1.3222192947339193
21,22,it,ventidue,2.771985963608684,ventidue,0.0,False,2.771985963608684,2.771985963608684,about twenty-two,exactly twenty-two,0.04554169942250654,0.0014306388949320342,-1.3415907673957463,-2.8444699719207414,0.4427910268262308,0.4427910268262308,,0,0,0,0,1,1,0,0,0,0,1.3424226808222062
22,23,it,ventitré,1.2357442118645492,ventitré,0.0,False,1.2357442118645492,1.2357442118645492,about twenty-three,exactly twenty-three,0.028766471070120064,0.0009209864134945736,-1.5411134119635372,-3.0357467765217803,0.09192858493400888,0.09192858493400888,,0,0,0,0,0,0,0,0,0,0,1.3617278360175928
23,24,it,ventiquattro,4.417322093015137,ventiquattro,0.0,False,4.417322093015137,4.417322093015137,about twenty-four,exactly twenty-four,0.06773929042963697,0.0038585960701119438,-1.1691593569105674,-2.4135706823519336,0.6451590673858881,0.6451590673858881,,0,0,0,1,1,3,1,0,0,0,1.380211241711606
24,25,it,venticinque,6.993644350872024,venticinque,0.0,False,6.993644350872024,6.993644350872024,about twenty-five,exactly twenty-five,0.3316821847068009,0.0037268448370948097,-0.47927785465270045,-2.4286586882218186,0.8447035432747688,0.8447035432747688,,0,0,1,0,0,0,0,2,0,0,1.3979400086720377
25,26,it,ventisei,1.6649941128479457,ventisei,0.0,False,1.6649941128479457,1.6649941128479457,about twenty-six,exactly twenty-six,0.027431297912899562,0.0007685054382082909,-1.5617536432494672,-3.114353054936525,0.22141270224944293,0.22141270224944293,,0,0,0,0,1,1,0,0,0,0,1.414973347970818
26,27,it,ventisette,1.5152087193129382,ventisette,0.0,False,1.5152087193129382,1.5152087193129382,about twenty-seven,exactly twenty-seven,0.024579871785005362,0.0007804721569462278,-1.6094203868364605,-3.1076425856192453,0.18047246082670054,0.18047246082670054,,0,0,0,1,0,0,3,0,0,0,1.4313637641589874
27,28,it,ventotto,1.4358447604571862,ventotto,0.0,False,1.4358447604571862,1.4358447604571862,about twenty-eight,exactly twenty-eight,0.030857960892409903,0.000953484384584346,-1.510632775694558,-3.020686415092421,0.1571074877326744,0.1571074877326744,,0,1,0,0,1,2,0,0,1,0,1.4471580313422192
28,29,it,ventinove,0.9419103345827157,ventinove,0.0,False,0.9419103345827157,0.9419103345827157,about twenty-nine,exactly twenty-nine,0.008863849436570669,0.0005317824439241602,-2.052377629581111,-3.274266004410838,-0.02599043802388944,-0.02599043802388944,,0,0,0,0,0,0,0,0,0,0,1.462397997898956
29,30,it,trenta,23.413745236443813,trenta,0.0,False,23.413745236443813,23.413745236443813,about thirty,exactly thirty,1.253917050645196,0.015139207064444635,0.09826880791527935,-1.8198968709756018,1.3694708885118587,1.3694708885118587,,1,0,1,1,1,1,1,1,0,1,1.4771212547196624
30,31,it,trentuno,0.5259992695871416,trentuno,0.0,False,0.5259992695871416,0.5476286112686821,about thirty-one,exactly thirty-one,0.006968875986083678,0.0005759088043057111,-2.1568372638541518,-3.239646282067142,-0.2615138699034461,-0.2790148589156415,,0,0,0,0,0,0,0,0,0,0,1.4913616938342726
31,32,it,trentadue,1.3132343641985904,trentadue,0.0,False,1.3132343641985904,1.3132343641985904,about thirty-two,exactly thirty-two,0.02031262969590925,0.0006590389470534472,-1.6922338487028774,-3.181088919259415,0.11834223865260868,0.11834223865260868,,0,0,0,0,1,5,0,0,0,0,1.505149978319906
32,33,it,trentatré,0.5291060123717412,trentatré,0.0,False,0.5291060123717412,0.5291060123717412,about thirty-three,exactly thirty-three,0.016026459723587225,0.00047475278215772297,-1.795162403554704,-3.323532481520473,-0.2764573034366925,-0.2764573034366925,,0,0,0,1,0,0,1,0,0,0,1.5185139398778875
33,34,it,trentaquattro,0.7017071463148264,trentaquattro,0.0,False,0.7017071463148264,0.7017071463148264,about thirty-four,exactly thirty-four,0.011643723902266196,0.0004585434730721226,-1.9339081011672599,-3.3386194839409096,-0.1538441005136654,-0.1538441005136654,,0,0,0,0,1,1,0,0,0,0,1.5314789170422551
34,35,it,trentacinque,2.2462311602901215,trentacinque,0.0,False,2.2462311602901215,2.2462311602901215,about thirty-five,exactly thirty-five,0.13526517687198208,0.0010951054812424537,-0.868813995264132,-2.9605440472939533,0.35145444759444683,0.35145444759444683,,0,1,1,0,0,0,0,1,1,0,1.5440680443502757
35,36,it,trentasei,1.4212665902567665,trentasei,0.0,False,1.4212665902567665,1.4212665902567665,about thirty-six,exactly thirty-six,0.026155452496656083,0.0006459540507333933,-1.5824377621553405,-3.1897983739904814,0.1526755471873761,0.1526755471873761,,0,0,0,1,1,2,2,0,0,0,1.5563025007672873
36,37,it,trentasette,0.6626755770875937,trentasette,0.0,False,0.6626755770875937,0.6626755770875937,about thirty-seven,exactly thirty-seven,0.010902769110190565,0.0004513640864934212,-1.9624631849454417,-3.34547299921975,-0.17869903503972098,-0.17869903503972098,,0,0,0,0,0,0,0,0,0,0,1.568201724066995
37,38,it,trentotto,0.6052016042125544,trentotto,0.0,False,0.6052016042125544,0.6052016042125544,about thirty-eight,exactly thirty-eight,0.012448900263580875,0.0003350986430741015,-1.9048690124681464,-3.474827330764022,-0.21809992945959641,-0.21809992945959641,,0,0,0,0,1,1,0,0,0,0,1.5797835966168101
38,39,it,trentanove,0.4853164659166128,trentanove,0.0,False,0.4853164659166128,0.4853164659166128,about thirty-nine,exactly thirty-nine,0.0048032011483646955,0.00028755700122260955,-2.3184692256042974,-3.5412760540605857,-0.31397497360247295,-0.31397497360247295,,0,0,0,1,0,0,1,0,0,0,1.591064607026499
39,40,it,quaranta,10.448179298192354,quaranta,0.0,False,10.448179298192354,10.448179298192354,about forty,exactly forty,0.8688306018163584,0.011421339873862735,-0.06106489083312279,-1.942282944628574,1.0190406167973285,1.0190406167973285,,1,0,1,0,1,3,0,1,0,1,1.6020599913279623
40,41,it,quarantuno,0.2530264359168042,quarantuno,0.0,False,0.2530264359168042,0.26491938481700794,about forty-one,exactly forty-one,0.0038191114845761496,0.0003133275108595425,-2.4180376638498937,-3.5040014714127286,-0.5768862621216352,-0.5968341018557565,,0,0,0,0,0,0,0,0,0,0,1.6127838567197355
41,42,it,quarantadue,0.6605106308348232,quarantadue,0.0,False,0.6605106308348232,0.6605106308348232,about forty-two,exactly forty-two,0.01066916877285971,0.000670068720417157,-1.9718694148231768,-3.17388065495961,-0.18012018807860278,-0.18012018807860278,,0,1,0,1,1,1,1,0,1,0,1.6232492903979006
42,43,it,quarantatré,0.13550976985401594,quarantatré,0.0,False,0.13550976985401594,0.13550976985401594,about forty-three,exactly forty-three,0.006902341970314074,0.00034188646399218816,-2.161003527782684,-3.4661180934996074,-0.8680293923118574,-0.8680293923118574,,0,0,0,0,0,0,0,0,0,0,1.6334684555795864
43,44,it,quarantaquattro,0.4694835641818345,quarantaquattro,0.0,False,0.4694835641818345,0.4694835641818345,about forty-four,exactly forty-four,0.0075244214432153315,0.0002551329354074388,-2.1235268875851108,-3.5932334741913396,-0.3283796070402083,-0.3283796070402083,,0,0,0,0,1,2,0,0,0,0,1.6434526764861874
44,45,it,quarantacinque,1.8778244619919433,quarantacinque,0.0,False,1.8778244619919433,1.8778244619919433,about forty-five,exactly forty-five,0.10967006161598536,0.0012492570986392267,-0.9599119125301655,-2.9033481740918305,0.27365499221584066,0.27365499221584066,,0,0,1,1,0,0,2,1,0,0,1.6532125137753437
45,46,it,quarantasei,0.4505069466408624,quarantasei,0.0,False,0.4505069466408624,0.4505069466408624,about forty-six,exactly forty-six,0.0070768373557753275,0.00024232387324954095,-2.150160785502694,-3.615603797955742,-0.3462985079822888,-0.3462985079822888,,0,0,0,0,1,1,0,0,0,0,1.662757831681574
46,47,it,quarantasette,0.34257359497284295,quarantasette,0.0,False,0.34257359497284295,0.34257359497284295,about forty-seven,exactly forty-seven,0.005761154694917648,0.00035417217184629217,-2.2394904632134796,-3.4507855653604618,-0.46524611480754274,-0.46524611480754274,,0,0,0,0,0,0,0,0,0,0,1.6720978579357175
47,48,it,quarantotto,1.1978567925450312,quarantotto,0.0,False,1.1978567925450312,1.1978567925450312,about forty-eight,exactly forty-eight,0.016844548379229343,0.0010055137221220323,-1.7735406284369661,-2.9976119982634457,0.07840489991884651,0.07840489991884651,,0,0,0,1,1,4,1,0,0,0,1.6812412373755872
48,49,it,quarantanove,0.3340815323206377,quarantanove,0.0,False,0.3340815323206377,0.3340815323206377,about forty-nine,exactly forty-nine,0.0029695197716905542,0.00031434440725778434,-2.5273137787528395,-3.5025942621109625,-0.4761475310452465,-0.4761475310452465,,0,1,0,0,0,0,0,0,2,0,1.6901960800285136
49,50,it,cinquanta,13.665551330846297,cinquanta,0.0,False,13.665551330846297,13.665551330846297,about fifty,exactly fifty,0.9380131341815429,0.014129996467000397,-0.027791080530708032,-1.849857946740431,1.1356271578079795,1.1356271578079795,,1,0,1,0,1,1,0,2,0,1,1.6989700043360187
50,51,it,cinquantuno,0.19273539613086718,cinquantuno,0.0,False,0.19273539613086718,0.20419670603419476,about fifty-one,exactly fifty-one,0.002617371317502854,0.00023172848185522315,-2.582134661118927,-3.6350205835930396,-0.6899512679430904,-0.7150385192176482,,0,0,0,1,0,0,1,0,0,0,1.7075701760979363
51,52,it,cinquantadue,0.42779056657844405,cinquantadue,0.0,False,0.42779056657844405,0.42779056657844405,about fifty-two,exactly fifty-two,0.005696040771949566,0.0005125747109573712,-2.24442691070383,-3.290242824532178,-0.36876879650151295,-0.36876879650151295,,0,0,0,0,1,2,0,0,0,0,1.7160033436347992
52,53,it,cinquantatré,0.11379091669799017,cinquantatré,0.0,False,0.11379091669799017,0.11379091669799017,about fifty-three,exactly fifty-three,0.00413572348481007,0.00020805769539140027,-2.3834485059478774,-3.6818162164044907,-0.9438924038933473,-0.9438924038933473,,0,0,0,0,0,0,0,0,0,0,1.724275869600789
53,54,it,cinquantaquattro,0.3160991646908252,cinquantaquattro,0.0,False,0.3160991646908252,0.3160991646908252,about fifty-four,exactly fifty-four,0.005181295623483281,0.00023357969806713687,-2.285561627943567,-3.63156490728128,-0.5001766518056104,-0.5001766518056104,,0,0,0,1,1,1,3,0,0,0,1.7323937598229686
54,55,it,cinquantacinque,0.5562717020956032,cinquantacinque,0.0,False,0.5562717020956032,0.5562717020956032,about fifty-five,exactly fifty-five,0.028831657932563953,0.0006003520107515402,-1.5401303832704394,-3.221594030450682,-0.2547130323408802,-0.2547130323408802,,0,0,1,0,0,0,0,1,0,0,1.7403626894942439
55,56,it,cinquantasei,0.34042540053133946,cinquantasei,0.0,False,0.34042540053133946,0.34042540053133946,about fifty-six,exactly fifty-six,0.0061611034487715054,0.00017744306194596187,-2.2103414990700143,-3.7509409769728586,-0.46797804289108574,-0.46797804289108574,,0,1,0,0,1,3,0,0,1,0,1.7481880270062005
56,57,it,cinquantasette,0.23115538004847122,cinquantasette,0.0,False,0.23115538004847122,0.23115538004847122,about fifty-seven,exactly fifty-seven,0.003934032489750097,0.00016843706971131464,-2.4051620577209727,-3.77356232257875,-0.6360959940789284,-0.6360959940789284,,0,0,0,1,0,0,1,0,0,0,1.7558748556724915
57,58,it,cinquantotto,0.21983288155413402,cinquantotto,0.0,False,0.21983288155413402,0.21983288155413402,about fifty-eight,exactly fifty-eight,0.004165845328826964,0.00020678282928547156,-2.3802968587483195,-3.684485526778156,-0.6579073473562241,-0.6579073473562241,,0,0,0,0,1,1,0,0,0,0,1.7634279935629373
58,59,it,cinquantanove,0.1879213864780842,cinquantanove,0.0,False,0.1879213864780842,0.1879213864780842,about fifty-nine,exactly fifty-nine,0.0019611862210475116,0.00020950497879291145,-2.707481166692458,-3.678805651759284,-0.72602379200759,-0.72602379200759,,0,0,0,0,0,0,0,0,0,0,1.7708520116421442
