,numbers,log_freq,predictions,R2
0,1,3.1945888489635896,2.9403115868660197,0.8579469261877455
1,2,2.9537939850310377,2.732387412355518,0.8579469261877455
2,3,2.639968372439853,2.524463237845016,0.8579469261877455
3,4,2.356076395307059,2.316539063334514,0.8579469261877455
4,5,2.2395247146202784,2.108614888824013,0.8579469261877455
5,6,2.0970146628255364,1.900690714313511,0.8579469261877455
6,7,1.813077603040058,1.6927665398030094,0.8579469261877455
7,8,1.80140404668224,1.5510477960842748,0.8579469261877455
8,9,1.6200920634272122,1.5510477960842748,0.8579469261877455
9,10,1.9193153834174903,1.343123621573773,0.8579469261877455
10,11,1.1028060954301218,1.1351994470632714,0.8579469261877455
11,12,1.4431139926289398,1.343123621573773,0.8579469261877455
12,13,0.9018790874643632,1.1351994470632714,0.8579469261877455
13,14,0.9895860185147848,0.9272752725527696,0.8579469261877455
14,15,1.30825553682144,1.1351994470632714,0.8579469261877455
15,16,0.9678918908164325,1.1351994470632714,0.8579469261877455
16,17,0.7579308659276596,0.9272752725527695,0.8579469261877455
17,18,1.0059040861649975,0.9272752725527696,0.8579469261877455
18,19,0.8297659893741295,0.7193510980422679,0.8579469261877455
19,20,1.5976306235350095,0.9272752725527695,0.8579469261877455
20,21,0.5411909433300275,0.719351098042268,0.8579469261877455
21,22,0.3852109927916896,0.5114269235317663,0.8579469261877455
22,23,0.2612213425945501,0.30350274902126456,0.8579469261877455
23,24,0.680739390792579,0.7193510980422679,0.8579469261877455
24,25,0.906989642254324,0.7193510980422679,0.8579469261877455
25,26,0.2416242511176502,0.5114269235317662,0.8579469261877455
26,27,0.1598799926581615,0.5776323543235333,0.8579469261877455
27,28,0.2185163370546694,0.5114269235317662,0.8579469261877455
28,29,0.0091268917771173,0.30350274902126456,0.8579469261877455
29,30,1.4513651214570615,0.5114269235317662,0.8579469261877455
30,31,0.0407854570341758,0.30350274902126456,0.8579469261877455
31,32,0.1547783214022071,0.36970817981303156,0.8579469261877455
32,33,0.0319137209293931,0.16178400530252993,0.8579469261877455
33,34,-0.0329517909214441,0.16178400530252993,0.8579469261877455
34,35,0.4276539837813254,0.30350274902126456,0.8579469261877455
35,36,0.1708140814826132,0.36970817981303167,0.8579469261877455
36,37,-0.0874025013193906,0.16178400530252993,0.8579469261877455
37,38,-0.0843017243977085,-0.04614016920797172,0.8579469261877455
38,39,-0.1615058648083062,0.16178400530252993,0.8579469261877455
39,40,1.2085341555593787,0.16178400530252993,0.8579469261877455
40,41,-0.2180554999274898,-0.04614016920797177,0.8579469261877455
41,42,-0.0588870127672056,0.09557857451076285,0.8579469261877455
42,43,-0.2127749324232733,-0.11234559999973892,0.8579469261877455
43,44,-0.1319619200434028,-0.04614016920797177,0.8579469261877455
44,45,0.3410319052389501,0.16178400530252998,0.8579469261877455
45,46,-0.2055019189893487,-0.04614016920797172,0.8579469261877455
46,47,-0.2391608331403988,-0.2540643437184734,0.8579469261877455
47,48,0.1612891522740142,0.16178400530252993,0.8579469261877455
48,49,-0.2709741595453371,-0.04614016920797177,0.8579469261877455
49,50,1.3579848991707848,-0.04614016920797177,0.8579469261877455
50,51,-0.2486047731031395,-0.04614016920797177,0.8579469261877455
51,52,-0.1393864595066098,-0.04614016920797177,0.8579469261877455
52,53,-0.3005714858443493,-0.25406434371847353,0.8579469261877455
53,54,-0.2446447579759511,-0.04614016920797172,0.8579469261877455
54,55,-0.0093243577766,-0.2540643437184734,0.8579469261877455
55,56,-0.2482177741348591,-0.2540643437184734,0.8579469261877455
56,57,-0.358023330416804,-0.2540643437184734,0.8579469261877455
57,58,-0.3628212668727267,-0.46198851822897513,0.8579469261877455
58,59,-0.4197093848431559,-0.6699126927394768,0.8579469261877455
59,60,1.0430626277783843,-0.04614016920797177,0.8579469261877455
60,61,-0.4323731251886044,-0.25406434371847353,0.8579469261877455
61,62,-0.2933810369267347,-0.46198851822897513,0.8579469261877455
62,63,-0.3788121295513372,-0.25406434371847336,0.8579469261877455
63,64,-0.2619661193870577,-0.046140169207971884,0.8579469261877455
64,65,0.1262272540402686,-0.2540643437184734,0.8579469261877455
65,66,-0.3533802794115671,-0.46198851822897513,0.8579469261877455
66,67,-0.455088273517137,-0.6699126927394768,0.8579469261877455
67,68,-0.4315275300558893,-0.25406434371847353,0.8579469261877455
68,69,-0.5333614884322837,-0.46198851822897524,0.8579469261877455
69,70,0.7215204793503649,-0.46198851822897513,0.8579469261877455
70,71,-0.5289807741138252,-0.6699126927394768,0.8579469261877455
71,72,-0.2043146666933265,-0.2540643437184734,0.8579469261877455
72,73,-0.5050095025877284,-0.46198851822897513,0.8579469261877455
73,74,-0.489965688439316,-0.6037072619477097,0.8579469261877455
74,75,0.2475128472347696,-0.2540643437184734,0.8579469261877455
75,76,-0.492819803366561,-0.46198851822897513,0.8579469261877455
76,77,-0.5575145118762483,-0.6699126927394768,0.8579469261877455
77,78,-0.5029226198844041,-0.46198851822897513,0.8579469261877455
78,79,-0.6147164405543536,-0.6699126927394768,0.8579469261877455
79,80,0.6901333158301683,-0.25406434371847353,0.8579469261877455
80,81,-0.5676614936903389,-0.3957830874372079,0.8579469261877455
81,82,-0.5414861121017185,-0.6037072619477096,0.8579469261877455
82,83,-0.5823090330206725,-0.8116314364582113,0.8579469261877455
83,84,-0.4922647023961243,-0.4619885182289751,0.8579469261877455
84,85,-0.2645738359026888,-0.4619885182289752,0.8579469261877455
85,86,-0.5866298756160788,-0.6699126927394768,0.8579469261877455
86,87,-0.6140692788716468,-0.6699126927394768,0.8579469261877455
